Transform,Empowerment
7,0.10
5,0.02
4,0.08
6,0.00
6,0.10
6,0.10
5,0.10
5,0.05
7,0.10
7,0.01
7,0.03
6,0.00
5,0.00
4,0.10
6,0.10
7,0.02
7,0.01
7,0.05
3,0.00
6,0.10
7,0.15
6,0.10
7,0.05
5,0.10
6,0.05
7,0.00
5,0.00
5,0.00
7,0.01
5,0.00
4,0.00
5,0.00
6,0.01
6,0.10
6,0.00
6,0.00
7,0.02
5,0.20
5,0.00
6,0.00
7,0.00
6,0.10
5,0.00
7,0.00
6,0.05
6,0.00
5,0.05
5,0.10
6,0.00
5,0.00
5,0.15
7,0.00
7,0.00
6,0.20
5,0.10
7,0.10
5,0.02
6,0.20
7,0.01
5,0.01
7,0.01
6,0.10
5,0.05
2,0.00
5,0.00
7,0.10
7,0.10
5,0.25
6,0.10
6,0.00
5,0.05
7,0.01
6,0.02
4,0.00
7,0.00
6,0.10
7,0.05
7,0.10
7,0.07
7,0.00
5,0.10
7,0.10
4,0.10
5,0.08
5,0.10
6,0.01
5,0.00
6,0.00
6,0.05
6,0.00
5,0.20
5,0.00
7,0.05
7,0.05
5,0.00
7,0.10
5,0.10
6,0.00
4,0.30
5,0.15
5,0.01
5,0.00
7,0.05
5,0.00
6,0.02
